hole_ID,depth_from,depth_to,code,code_long,code_description
TRC20-002,44.196,45.72,TSBF,Tom Black Facies,"Tom Black Facies Mineralization; laminated sphalerite, black cherty mudstone, and pyrite"
TRC20-002,45.72,47.244,TSBF,Tom Black Facies,"Tom Black Facies Mineralization; laminated sphalerite, black cherty mudstone, and pyrite"
TRC20-002,47.244,48.768,TSBF,Tom Black Facies,"Tom Black Facies Mineralization; laminated sphalerite, black cherty mudstone, and pyrite"
TRC20-002,48.768,50.292,TSPF,Tom Pink Facies,"Tom Pink Facies Mineralization; laminated red to pink to cream colour sphalerite, galena, pyrite, cherty mudstone, and barite"
TRC20-002,50.292,51.816,TSPF,Tom Pink Facies,"Tom Pink Facies Mineralization; laminated red to pink to cream colour sphalerite, galena, pyrite, cherty mudstone, and barite"
TRC20-002,51.816,53.34,TSPF,Tom Pink Facies,"Tom Pink Facies Mineralization; laminated red to pink to cream colour sphalerite, galena, pyrite, cherty mudstone, and barite"
TRC20-002,53.34,54.864,TSPF,Tom Pink Facies,"Tom Pink Facies Mineralization; laminated red to pink to cream colour sphalerite, galena, pyrite, cherty mudstone, and barite"
TRC20-002,54.864,56.388,TSSX,Tom Massive Sulphides,Tom Massive Sulphides; massive sphalerite-galena-pyrite greater than fifty percent with some laminated textures
TRC20-002,56.388,57.912,TSSX,Tom Massive Sulphides,Tom Massive Sulphides; massive sphalerite-galena-pyrite greater than fifty percent with some laminated textures
TRC20-002,57.912,59.436,TSFM,Tom Footwall Mineralization,"Tom Footwall Mineralization; catch-all term for irregular mineralization that typically underlies the massive sulphide or pink facies at Tom; breccia, veining, to laminated sphalerite and or galena and or pyrite"
TRC20-002,59.436,60.96,TSFM,Tom Footwall Mineralization,"Tom Footwall Mineralization; catch-all term for irregular mineralization that typically underlies the massive sulphide or pink facies at Tom; breccia, veining, to laminated sphalerite and or galena and or pyrite"
TRC20-002,60.96,62.484,TSFM,Tom Footwall Mineralization,"Tom Footwall Mineralization; catch-all term for irregular mineralization that typically underlies the massive sulphide or pink facies at Tom; breccia, veining, to laminated sphalerite and or galena and or pyrite"
TRC20-002,62.484,64.008,TSFM,Tom Footwall Mineralization,"Tom Footwall Mineralization; catch-all term for irregular mineralization that typically underlies the massive sulphide or pink facies at Tom; breccia, veining, to laminated sphalerite and or galena and or pyrite"
TRC20-002,64.008,65.532,TSFM,Tom Footwall Mineralization,"Tom Footwall Mineralization; catch-all term for irregular mineralization that typically underlies the massive sulphide or pink facies at Tom; breccia, veining, to laminated sphalerite and or galena and or pyrite"
TRC20-002,65.532,67.056,TSFM,Tom Footwall Mineralization,"Tom Footwall Mineralization; catch-all term for irregular mineralization that typically underlies the massive sulphide or pink facies at Tom; breccia, veining, to laminated sphalerite and or galena and or pyrite"
TRC20-002,67.056,68.58,TSFM,Tom Footwall Mineralization,"Tom Footwall Mineralization; catch-all term for irregular mineralization that typically underlies the massive sulphide or pink facies at Tom; breccia, veining, to laminated sphalerite and or galena and or pyrite"
TRC20-003,36.576,38.1,TSBF,Tom Black Facies,"Tom Black Facies Mineralization; laminated sphalerite, black cherty mudstone, and pyrite"
